video_frame,sample_index,time_s,qpos_float64_le_sha256
0,0,0.0,4f79b46a0273e9c82bf9dee5d6ea70cee9c35653446b432afa07433c59caafe1
1,4,0.04000000000000002,99fabc3ee6c7fb028e1a27d5e32a41f37ffc83f58604f5e28cf15cb86a1cf290
2,8,0.08000000000000006,07e048d35c2f4c00e071b5048b1b42e225ad28c5a63ea12837837347bd9ed2f5
3,12,0.12000000000000009,8eda81aa886a1f48fdfec053b00d319574ed562b45a3f2b6fc8cda751d2ce82e
4,16,0.16000000000000011,919b50f7d687224083f42f28b7121b83afe50cee26d664f667a89f9af4033534
5,20,0.20000000000000015,b2b235e188ff13d364cbf5347ea2c8263a860560e3f7781dbba5accb88b5b80d
6,24,0.24000000000000019,64355df6a0e544b32950d6f703465283b0a71d2ed6d17d6fb5733c2b758bab94
7,28,0.2800000000000002,a6e1a42c30216652baf9352387379034448f4c487262167f4e0cc14f9faf04e9
8,32,0.32000000000000023,2eb76b13468cb452a5d99bce4c7a390d873cd67c00a366e8ae74667e1d0aefca
9,36,0.36000000000000026,e2b549764e1e5a27cf5a3cd41ac241b532c3e88dcd95cc28ef3e0f1bdeebcfc9
10,40,0.4000000000000003,d0e29438f51a2bfc387b7deb2aa9aa21b65d1dc83e7980c12fec1e4f77b6af0e
11,44,0.44000000000000034,e742e4c467f4b00fe2e6570c6e4db88ad3a6facd4e5a5e33352606867f65fbb8
12,48,0.48000000000000037,b2df60cb69f96ae14fa3e2c1bca334675d81eef9a9f0cd8db32a6f8c56176592
13,52,0.5200000000000004,9f26c58afa30d66716f359a337269729d43f8c84be05556d38f9bbea10bb5001
14,56,0.5600000000000004,cb52526a682e472434e4383be6230ce76aa7df313e8e544a5e1cf55e271a6df7
15,60,0.6000000000000004,0135f07eeff74bc3c9a8e7f35588fb3cbd76f23ac2dac60311d9fa7451663447
16,64,0.6400000000000005,141babaa620959e6a72da1f858987da16acee44f59f12699fd1da85909744650
17,68,0.6800000000000005,f60c977bd762f003d41186a84cdaad3d5f37591dfa5a0471e5d7df68389356c0
18,72,0.7200000000000005,0c3b67d071d31bbfa80f0b62289f8c7e840cd61335c2f6db71b1b20fcdcf8649
19,76,0.7600000000000006,2035d0d7f569c1dc74d95375ab3a95b4bae839d55726b5c857b82896bc4efcaa
20,80,0.8000000000000006,658983a0202f1eb0148e1dcce93fdd38642246cd71202652d13c77852cc1b119
21,84,0.8400000000000006,d2f9de7123753c9784ba4fe497ade82344fac77e4428ae3ea76ff743c3b2962d
22,88,0.8800000000000007,964dff55ec51e1f43232dae3f55e307cecee797efe552ced033c0ffdbcb77c6e
23,92,0.9200000000000007,38f91a1571b24f76c05db32a80eb2c3b92e5376f698426081154e5e406c8f847
24,96,0.9600000000000007,8f7b58a1ca145deec931df7211888df365bdd94d589edc7cdeded99adf4c78e4
25,100,1.0000000000000007,ae627f2689fda41bcfd4e0a6c3de96809eb3d501b1631d9c7b293669f9ee48fe
26,104,1.0400000000000007,ab29dacbff6880468aababd3a4b4f8bbb0cc35a999d5a8d7921c9197a916923b
27,108,1.0800000000000007,ec7480bc03eb87f1cda59c1901901f8567ec0910739592f876cb3951fee1e5b0
28,112,1.1200000000000008,2c47f400d236c4de3446b0b0890e0fd79782a440c11a7428f7c05a86925d8963
29,116,1.1600000000000008,fbd83dfb13bc164483e13d04be6225a16dd8ce053bf579a60b7d6d46be67f6bd
30,120,1.2000000000000008,61ffe5a07e2c42fb0d38cc691d8dfc8456f680b53fbb55a4571a1e67e167ade5
31,124,1.2400000000000009,ec452fa04441b59426c380d3a91d63d1ffe0db045de4421fe090264ea8a5875f
32,128,1.280000000000001,87926330bfaf48fedbb119c376e48fb1a6b0c22c5fc2550b15d648ba5c1a7e71
33,132,1.320000000000001,6e7a66f046fab1bdf0680aa39d61813c9058bfb09c400be63b96f5ef9c72e898
34,136,1.360000000000001,f41c9f223246bfe84573721ab0700c92b37a02e9b3693d59ccd0c5cf4f5ba65a
35,140,1.400000000000001,ef101d9e81df790c1da28233d9ff5441908859166e2a8031912978b7cc7b9365
36,144,1.440000000000001,4b1b5ffb7dd2a1d8fbabe30fe5f3597a9b8c86c8d742a3cecb3633a090d01d21
37,148,1.480000000000001,116673a74bfe31d44d9146db64aebad19fa5330c805cbc5ebc534b645d083314
38,152,1.5200000000000011,3733433b240bcbff979036af28a46572699fd63fcd2ead78dd769792c1c26450
39,156,1.5600000000000012,38532d2eb936034c6549704a44e92f5b37fc929295e8e16579506ada1af47417
40,160,1.6000000000000012,d78207cbc62467083e41881923c8ab92c474afd140b97481c8457657c4797aa0
41,164,1.6400000000000012,0a54b57938cd711a467e9a7caef1078ebaf25ff0654eb36fc3e340154aa053b5
42,168,1.6800000000000013,35a8ea93daaec24626850871f6fef2b58b96a43c2f7e49b34755e70c6329706d
43,172,1.7200000000000013,f26afebe1cd83c7a2fc370efaca25970fdb7ce4eb29ceedf3a526f1aefa19937
44,176,1.7600000000000013,37b6b17ee96dfd6b9f2624afbab2439085213773923fcf40207f1c499412aee6
45,180,1.8000000000000014,e85970b7f3ea82fd68323e3e15e39f1223839e91d8427d52572ff311ef3508ce
46,184,1.8400000000000014,ef1c9be3ddc999571c1a737e2dc1d2cb0a0727c8493445a8b951aa9285582341
47,188,1.8800000000000014,bda4fca63da3dd81dd36c22f43b1b5397e2f8ca38329ffc2870eeabd7e7cb8be
48,192,1.9200000000000015,50b3cc9562d2bbe99fc28a442f2a616868ec99c203dfbeac9d0a21b77e8e6dc6
49,196,1.9600000000000015,f2035454235935df47feaf461fc4ba3b87e741c3ccb216ec96e4c9d5fd13a678
50,200,2.0000000000000013,b80fd7d1d5f0f872f871a1661cf850d9a9c531b9dd3133d8e458fe7a8516e5f6
51,204,2.039999999999997,2c130485b77dd733612e78f87259186288eb000027b054593bc459726c863394
52,208,2.0799999999999925,481ffd3aac4ca338dbb952d6cdb7bf87b6d93d6b47d1552f28b3c2505159c370
53,212,2.119999999999988,51d88044766da8fce6b920791dce398b1f320804baba415e134122af6b47b648
