video_frame,sample_index,time_s,qpos_float64_le_sha256
0,0,0.0,4bd71a00adc8511bbee906fc49100d813ce48c8d85bcc9812ce0092b5a00b767
1,4,0.04000000000000002,9e0c88cea4f7a24878243bf6c8462c0692f665090ff65dbcda0ad743e07659fc
2,8,0.08000000000000006,5a4c40a03190c3ac3e4b1247b8ac5ab2e51aea28734bcb4b41878c13e69911ea
3,12,0.12000000000000009,ac5ba127ee799a4d1b9d40afd2628a315f9d1cf004a7e279cab10db263ab432b
4,16,0.16000000000000011,cc5aa52676b8228542ac30e71d1f01412f50bfa6ed98684b9429fde8e926d1e3
5,20,0.20000000000000015,4b47b1f02fa715d834d88e7e53e1914493e21bb14cfcea9f902b89a80930b96b
6,24,0.24000000000000019,6245db740fcb4bb8a6c2a59cc0e49bbbffa8e4b4d89b3e2c9493242c8af47309
7,28,0.2800000000000002,3f2f0a69791bac06c3cb85fc8807aa9ef2322cd207e8680d5417416a6612c0ac
8,32,0.32000000000000023,784c8ed740b99cfdae2b598af3996e18146e4388b3df040594e0c450267075d6
9,36,0.36000000000000026,1fbd7b0c55ad20eb95affeecc8f45aa8b893e48ce2f94abe47a3974e26486abf
10,40,0.4000000000000003,119f28851e40b03d85c080fda52142c01269cc5c09d4ce68a06d366d1e63bc07
11,44,0.44000000000000034,e0bd68e593b7f71bdfcab041607941f77dc07e09dd0d32b68a89609ff4135bc3
12,48,0.48000000000000037,9edd8ed25ba3e04694129312781c3fd2e076749e19ac45a85a44fb37952ac2cd
13,52,0.5200000000000004,d55afb5cfa8e2261b18c46e94009592e2309fe70717d30f2f9a20bd4b9fe1e2e
14,56,0.5600000000000004,f8f30b9958d7b5dbfa2c729a799cca545ed80893dc9f54f451a47cebdf644515
15,60,0.6000000000000004,c14c1a2bd5b0cf5c439efc960dbe18c0b023c3fc2a3fe7d442d942e2590163fe
16,64,0.6400000000000005,27866ffc8dfaa0cf808fdc41b99b07f23f2b95b03552fa8e68fdf584a9b81b53
17,68,0.6800000000000005,b03173a5488a085f0b56eed2aa0cc1287984a9b335fce5f49349b04b48f4407f
18,72,0.7200000000000005,4cba96abc62055f7b0d2638bde9dc9ccc68ed9e43f3771d2be7aa0f6c733503d
19,76,0.7600000000000006,34f3f757d788f4113402f9c55d0761e058128d321cc4af1f3168d47713f02b98
20,80,0.8000000000000006,5a80a282e6345ff727688ba14d96a12e633275b09d93c212a75de4d4b6f5cbf7
21,84,0.8400000000000006,6cddad6e8b6958ec2245bf7702f2381d595c16bc1e57f1734bc7abd78b023f1b
22,88,0.8800000000000007,1280a863f694dd50da19d8714544acbb76781c14a975a8e0fa151363c445d3af
23,92,0.9200000000000007,af8b259376c540eae43cc9c491772f65b88ba2b9cdfce859ed2d9a5b2b70f67e
24,96,0.9600000000000007,3ef429c67b2844f9041b1538edf92c9161207ab9f5af63927de8fad788de9c58
25,100,1.0000000000000007,6b7cbdda24c3189c64fd7ab5b7ec4f86b25fb37c2b5c2ed6403aebec04904a47
26,104,1.0400000000000007,de40f712a45b57643d64583f758ff067216121cb16799a5ad1f26ffa3e9804f3
27,108,1.0800000000000007,c6305f1bbee45bbb14fe44c7b3336788d4f1d1b52cb364752314ece85481b873
28,112,1.1200000000000008,15143ec6a85ee06c78d6e2e2a2ec2c9261ba112cdc55b69d1a743160eb65ecc9
29,116,1.1600000000000008,ac9fa906fff0ecb2cf796b1cae0b6bb17cdf2b66a6b0e86f6617fb9f17c3010a
30,120,1.2000000000000008,e7d89c09315696eceeb60651e282afb7b04b944eb5cf1b8b9c909ff6a56b62bb
31,124,1.2400000000000009,17a61a697a6c85f00f586ffa9ddc19edffa54aa584ac0281ba576bf0e9ede74c
32,128,1.280000000000001,e1969e5397edea8d119f1ad58806fa22bdf002e5b9c3c17514b77e404cf00250
33,132,1.320000000000001,568f6d1d0bd3847587a9eeb325e9f8c77f22fe8ea33095d5c060e8852f7011c4
34,136,1.360000000000001,a7046b6261448aec37a81ba07858500e089f53e77d107bf489fe500876046496
35,140,1.400000000000001,66d59872df25f0b04128fdfc4b37e1dee30d778b790cabd950f59d285cd88ea7
36,144,1.440000000000001,7ad75410b214a501db94cdfdaba32a85c7b4cc50efb0cddb0798e737f4bf2337
37,148,1.480000000000001,a682be97429ecc7fcb07db7fbffa1e496bd2f6ccc7314be803b750058fe57baf
38,152,1.5200000000000011,df888431abc93432d0b2930818ded139ec921338f376a0f2ed4d5e39b4d47c4f
39,156,1.5600000000000012,1abb89667dfeba0832c05d8f81b51cb8f1c5b576dbe689dee8a3b3324d2a0f13
40,160,1.6000000000000012,b027b14791c50b67972a528f2334165b3e57df09f6a12efbd4f18cc379e73b04
41,164,1.6400000000000012,73e37790e4c774c08a66aaf97c5479198197cf80acc11e696ea1a9beaff8f585
42,168,1.6800000000000013,ebfafe77eb91a29d5ff3f6878ac8ec91062542670f651bdb2602312b2f5f774a
43,172,1.7200000000000013,d197712adeb532e463a6b1b671332620b0f2a434844cb1cc674323bfea25f7f2
44,176,1.7600000000000013,e14c3d33721498334b3979ffc007f884883feda4b580906a1129481a79a368e4
45,180,1.8000000000000014,69c456f9776f016018f9ab5457fca2a047ef2c67be016c388367fd43953011f0
46,184,1.8400000000000014,0bc8daedf1cfcf438eb3e007a5d9ff40d13483c57bc48152285723949e3def68
47,188,1.8800000000000014,69feea3b8dcff50b0ed14fd0e3b7489c136018be5a06758ceb2203f9319a3978
48,192,1.9200000000000015,62758c81b72bafe117eadf739108e22002e1710c6fe6aed414774220cfcd6390
49,196,1.9600000000000015,e1587e6b3382f6f2683990486541196ef97e408057481a9c5d28457a1eeff8bf
