video_frame,sample_index,time_s,qpos_float64_le_sha256
0,0,0.0,4bd71a00adc8511bbee906fc49100d813ce48c8d85bcc9812ce0092b5a00b767
1,4,0.04000000000000002,5988b3786be1e6fd05b8b94356c31f08f82755ede515fb1e99d10a18f30a5f9d
2,8,0.08000000000000006,eee79fe79091010becf07e1c15c53deabf4e6d9f83f162afc7e1c1313da58560
3,12,0.12000000000000009,a692c4584e54b5f4c301fcd96f7477db687059ca0296607f97aea89ab4640769
4,16,0.16000000000000011,bb04746db852c1684d06ba05f0e65b49cb1c6dc54abe1882593440f05d3d542f
5,20,0.20000000000000015,469de601a4c5f64cb19ba46ebc7dc0571f4ac29e6081f7636688120df381d920
6,24,0.24000000000000019,8df203408fb4af33d48ab7abd0959a46ad1beb296ca2eef26368f2b5984465e8
7,28,0.2800000000000002,38479998175de29f1a766dd41a38106869885e78e242624b7e389643b28f1f37
8,32,0.32000000000000023,e15ed65ae6aa2dfa08492deba3cb9f58ea69455cb41588992c988ff1ebfcfa34
9,36,0.36000000000000026,3e2641ef85040bf15f9ec733a1203f0c3d28c1391b57fce8c8c286a1e04cf422
10,40,0.4000000000000003,63bc46f13a851c93a9f0eb3cb3860a60983733b0665c984dc0e01c617ceed739
11,44,0.44000000000000034,1aaf4751f7e14b4e3a991e40f7bb26b2dcfacdc73fc574c8b6add42ffc493994
12,48,0.48000000000000037,43a928835ff231e262dc388fa2a87566b7e00a8b74b7864357d7a9aae182dc29
13,52,0.5200000000000004,d518bdb1cec9b57f061194d9199141a7d370ff24f6b4ede050dabb9ffa1be008
14,56,0.5600000000000004,1b50b392f486da65e6c761d1ce17123c9b2ae0d2b2da49f75285805ab98558fb
15,60,0.6000000000000004,84c245e07e6e5f5258740800440fdb153b65044ba3a074c418fceb440b55789e
16,64,0.6400000000000005,508f792c73157c6b4864a3db7d323ff47d8e1f6b6fa916094ae331460b9bec75
17,68,0.6800000000000005,2b21b9e09e88d265ba46db7338f610c63cc67bdd3d456f6fb60abaa222e794dd
18,72,0.7200000000000005,f1f9e12a78e7fb1bf0a39570f662d91ba5efae2a07cec75e6bd4c572631edb3f
19,76,0.7600000000000006,6bdf69753ecd810f86d7ae6cc9acec1b4d54c61f25328f98d51b75c8b1de2813
20,80,0.8000000000000006,da7481366bab86fddefed104cbe4041252d23c1217c6541e74c5fa3f9a189ace
21,84,0.8400000000000006,0de8c91631cd96c8aa5e914f706bd0fbbfdd9c594672de4f2f4880d2d5943959
22,88,0.8800000000000007,8c1244e91208efd6b69eec63d4f2f32265159ec0e62e2667955e6607cb2170de
23,92,0.9200000000000007,669849cd5290d366cd2c21c1308b97fd6ccc6cde75398db7c37b73b9d5e1f2c5
24,96,0.9600000000000007,f8ff3f8b7c30560482d6ea0d952cb2b2e1e87777e5572711dad57cd90c2f7f00
25,100,1.0000000000000007,3bd863eab5da154b7ad906d0331978c673b3330bcbb7e48655c2dc63ed4673c1
26,104,1.0400000000000007,17f8cad7911d3ef505c1c6563c62c470e7d2f3512e42ce3b82c7ded600f8036d
